author,title,booktitle,year,url
Hyuck Han and Hyungsoo Jung and Hyeonsang Eom and Heonyoung Yeom,Scatter-Gather-Merge: An efficient star-join query processing algorithm for data-parallel frameworks,Cluster Computing,2011,https://dx.doi.org/10.1007/s10586-010-0144-5
Im Y Jung and Heonyoung Yeom,Provenance security guarantee from origin up to now in the e-Science environment,Journal of Systems Architecture,2011,
Young Jin Yu and Dong In Shin and Hyeong Seog Kim and Hyeonsang Eom and Heonyoung Yeom,Backup Metadata As Data: DPC-Tolerance to Commodity File System,Journal of Information Science and Engineering,2011,
Shin-gyu Kim and Hyuck Han and Hyung-soo Jung and Hyeon-sang Eom and Heonyoung Yeom,Improving mapreduce performance by exploiting input redundancy,Journal of information science and engineering,2011,
Hyuck Han and Shinkyu Kim and Hyungsoo Jung and Heonyoung Yeom and Yong-woo Lee and Sooyong Kang,A High-Voltage Electron Microscope Control System based on Grid Infrastructure,INFORMATION-AN INTERNATIONAL INTERDISCIPLINARY JOURNAL,2011,
Hyuck Han and Hyungsoo Jung and Hyeonsang Eom and Heonyoung Yeom,An efficient skyline framework for matchmaking applications,Journal of Network and Computer Applications,2011,
Hyeong S Kim and Eunjin Jung and Heonyoung Yeom,"ELiSyR: Efficient, Lightweight and Sybil-Resilient File Search in P2P Networks",KSII Transactions on Internet and Information Systems (TIIS),2010,
Hyunjoo Kim and Heonyoung Yeom and Sooyong Kang and Youjip Won,Inter-Object Layer Clustering for scalable video streaming,Multimedia Tools and Applications,2010,
Hyungsoo Jung and Shin-gyu Kim and Heonyoung Yeom and Sooyong Kang,TCP-GT: A new approach to congestion control based on goodput and throughput,"Communications and Networks, Journal of",2010,
Hyungsoo Jung and Heonyoung Yeom,A practical single-register wait-free mutual exclusion algorithm on asynchronous networks,Euro-Par 2006 Parallel Processing,2006,
Hyungsoo Jung and Hyuck Han and Heonyoung Yeom and Sooyong Kang,CPS: Operating system architecture for efficient network resource management with control-theoretic packet scheduler,"Communications and Networks, Journal of",2010,
Young Jin Yu and Dong In Shin and Hyeonsang Eom and Heonyoung Yeom,NCQ vs. I/O scheduler: Preventing unexpected misbehaviors,ACM Transactions on Storage (TOS),2010,
Hyungsoo Jung and Hyuck Han and Heonyoung Yeom and Sooyong Kang,A fast and progressive algorithm for skyline queries with totally-and partially-ordered domains,Journal of Systems and Software,2010,
Im Y Jung and Heonyoung Yeom,Enhanced security for online exams using group cryptography,"Education, IEEE Transactions on",2009,
Hyunjoo Kim and Heonyoung Yeom,Dynamic scheme transition adaptable to variable video popularity in a digital broadcast network,"Multimedia, IEEE Transactions on",2009,
Hyunjoon Jung and Hyuck Han and Hyungsoo Jung and Heonyoung Yeom,Dynamic and fine-grained authentication and authorisation for grid computing,International Journal of Critical Infrastructures,2008,
Hyunjoo Kim and Heonyoung Yeom,P-chaining: a practical VoD service scheme autonomically handling interactive operations,Multimedia Tools and Applications,2008,
